병원명,일반병상수,node_name,x,y
가자연세,37,성동문화원앞,127.0371079,37.5591962
가톨릭대여의도성모,340,모래내지하차도(북측),126.9167403,37.5693543
가톨릭대은평성모,642,시범아파트앞,126.9402574,37.5209655
강남고려,174,은평성모병원사거리,126.9169866,37.6344794
강남수,29,도곡1동주민센터,127.04132,37.4889759
강남유나이티드,28,탄천1교동측,127.0848769,37.5010212
강남제이에스,42,강남을지병원,127.0287298,37.5185312
강남지인,28,싸리고개공원입구,127.0357387,37.4895327
강남힐,90,선릉역,127.0502518,37.5050462
강북삼성,526,상봉시장앞,127.0867386,37.5925407
강북연세,80,정동사거리,126.9692307,37.5680504
강북으뜸,63,광산사거리,127.0226027,37.6434635
강서송도,48,신방화역,126.8177619,37.5667861
건양의료재단김안과,66,건대입구역,127.06812,37.54088
경희대,654,경찰병원,127.1239038,37.495401
고도일,126,경희대학교앞,127.0519867,37.5971213
고려대의과대학부속구로,759,교보타워사거리,127.023538,37.503874
고은빛여성,26,고대구로병원,126.8848701,37.4920519
구로성심,190,삼성역,127.063143,37.5088402
국립중앙의료원,384,국립재활원,127.0105514,37.6385669
금강아산(재단법인아산사회복지재단),43,구룡사앞,127.0510934,37.4712537
녹색,265,노원자동차검사소,127.071663,37.6375068
누네안과,43,사가정역,127.0876732,37.5808042
뉴스타트,143,함지박사거리,126.9911415,37.4931243
늘찬,42,신가초교앞,127.1187956,37.5002912
달려라,104,전농119안전센터,127.0460036,37.576319
대항,69,대림사거리,126.9063446,37.4888492
더드림,51,사당역,126.981596,37.4765793
디앤에프,62,압구정역,127.028717,37.5271225
리더스,55,신영동삼거리,126.9619446,37.6039925
린여성,38,신사오거리,126.9156862,37.5990591
마디세상,44,장안동사거리,127.0716753,37.5723444
메디아이여성,22,학동역,127.030361,37.5148043
메디힐,110,상계초교,127.0659332,37.6570358
명지성모,202,신월사거리,126.827734,37.5362309
목동제일여성,24,학동사거리,127.0391658,37.5231829
미즈메디,54,도산공원,127.0352168,37.5242213
민트,35,미아역,127.0261837,37.6262408
바로선,132,올림픽훼밀리타운,127.1150524,37.4886064
바른본,40,방학사거리,127.0419388,37.6629791
바른사랑,34,중곡사거리,127.0881641,37.5586844
반도정형외과,24,신림교,126.9288425,37.4817782
방화,27,태릉입구역,127.0749769,37.6172576
본서부,45,신방화사거리,126.8164215,37.5725632
부민,272,본서부병원앞,126.9225883,37.6007485
삼성서울,1336,천왕역,126.838635,37.4863606
삼육서울,368,삼성서울병원,127.0853414,37.4884518
새길,49,휘경빗물펌프장,127.0685543,37.5886595
새힘,46,독산동남문종합시장,126.9004286,37.473751
서울21세기,78,"상계6,7동주민센터",127.0673284,37.6541669
서울나은,71,등촌사거리,126.8637549,37.5533839
서울대,1258,신도봉사거리,127.0442166,37.672823
서울라본,54,우장산공원입구,126.8459625,37.5502333
서울미즈,73,동부제일병원,127.1092782,37.6008208
서울세계로,142,동대문세무서,127.0478299,37.5832421
서울센트럴,66,장지동길지하차도(동측),127.1407919,37.4859485
서울스타,50,동묘앞역,127.0174344,37.5735084
서울원,61,용강동주민센터,126.9426765,37.5422117
서울유,52,강서나누리병원,126.8366769,37.5373406
서울정,52,서대문역,126.9660369,37.5663949
서울특별시동부,183,제기동역,127.0344672,37.5783784
